2018-07-24 08:57:52,105 [12] INFO  Umbraco.Core.PluginManager - [Thread 1] Determining hash of code files on disk
2018-07-24 08:57:52,130 [12] INFO  Umbraco.Core.PluginManager - [Thread 1] Hash determined (took 12ms)
2018-07-24 08:57:52,143 [12] INFO  Umbraco.Core.PluginManager - [Thread 1] Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
2018-07-24 08:57:59,006 [12] INFO  Umbraco.Core.PluginManager - [Thread 1] Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 16 (took 6860ms)
2018-07-24 08:57:59,049 [12] INFO  Umbraco.Core.PluginManager - [Thread 1] Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
2018-07-24 08:57:59,074 [12] INFO  Umbraco.Core.PluginManager - [Thread 1] Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 24ms)
2018-07-24 08:57:59,075 [12] INFO  Umbraco.Core.PluginManager - [Thread 1] Starting resolution types of Umbraco.Web.Mvc.SurfaceController
2018-07-24 08:57:59,084 [12] INFO  Umbraco.Core.PluginManager - [Thread 1] Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 0 (took 9ms)
2018-07-24 08:57:59,085 [12] INFO  Umbraco.Core.PluginManager - [Thread 1] Starting resolution types of Umbraco.Web.WebApi.UmbracoApiController
2018-07-24 08:57:59,106 [12] INFO  Umbraco.Core.PluginManager - [Thread 1] Completed resolution of types of Umbraco.Web.WebApi.UmbracoApiController, found 3 (took 20ms)
2018-07-24 08:57:59,108 [12] INFO  Umbraco.Core.PluginManager - [Thread 1] Starting resolution types of Umbraco.Core.Media.IThumbnailProvider
2018-07-24 08:57:59,124 [12] INFO  Umbraco.Core.PluginManager - [Thread 1] Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 3 (took 16ms)
2018-07-24 08:57:59,124 [12] INFO  Umbraco.Core.PluginManager - [Thread 1] Starting resolution types of Umbraco.Core.Media.IImageUrlProvider
2018-07-24 08:57:59,141 [12] INFO  Umbraco.Core.PluginManager - [Thread 1] Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 1 (took 16ms)
2018-07-24 08:57:59,919 [12] INFO  Umbraco.Web.Search.ExamineEvents - [Thread 1] Initializing Examine and binding to business logic events
2018-07-24 08:58:05,411 [12] INFO  Umbraco.Web.Search.ExamineEvents - [Thread 1] Adding examine event handlers for index providers: 3
2018-07-24 08:58:05,428 [12] INFO  Umbraco.Core.PluginManager - [Thread 1] Starting resolution types of umbraco.interfaces.IApplication
2018-07-24 08:58:05,452 [12] INFO  Umbraco.Core.PluginManager - [Thread 1] Completed resolution of types of umbraco.interfaces.IApplication, found 7 (took 23ms)
2018-07-24 08:58:06,002 [12] INFO  Umbraco.Core.PluginManager - [Thread 1] Starting resolution types of umbraco.interfaces.ITree
2018-07-24 08:58:06,064 [12] INFO  Umbraco.Core.PluginManager - [Thread 1] Completed resolution of types of umbraco.interfaces.ITree, found 27 (took 61ms)
2018-07-24 08:58:06,410 [12] INFO  umbraco.content - [Thread 10] Loading content from disk cache...
2018-07-24 08:58:07,651 [12] WARN  Umbraco.Web.Mvc.RenderMvcController - [Thread 10] No physical template file was found for template HomePage
2018-07-24 08:58:29,608 [12] INFO  Umbraco.Core.PluginManager - [Thread 10] Starting resolution types of Umbraco.Core.Persistence.Mappers.BaseMapper
2018-07-24 08:58:29,616 [12] INFO  Umbraco.Core.PluginManager - [Thread 10] Completed resolution of types of Umbraco.Core.Persistence.Mappers.BaseMapper, found 17 (took 8ms)
2018-07-24 09:02:11,892 [12] WARN  Umbraco.Web.Mvc.RenderMvcController - [Thread 19] No physical template file was found for template HomePage
2018-07-24 09:07:33,070 [12] WARN  Umbraco.Web.Mvc.RenderMvcController - [Thread 4] No physical template file was found for template HomePage
2018-07-24 09:11:41,588 [12] INFO  umbraco.BusinessLogic.Log - [Thread 30] Log scrubbed.  Removed all items older than 2018-05-25 09:11:40
2018-07-24 09:11:41,589 [12] INFO  Umbraco.Core.UmbracoApplicationBase - [Thread 30] Application shutdown. Reason: BinDirChangeOrDirectoryRename
2018-07-24 09:13:02,547 [20] INFO  Umbraco.Core.PluginManager - [Thread 25] Determining hash of code files on disk
2018-07-24 09:13:02,563 [20] INFO  Umbraco.Core.PluginManager - [Thread 25] Hash determined (took 12ms)
2018-07-24 09:13:02,580 [20] INFO  Umbraco.Core.PluginManager - [Thread 25] Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
2018-07-24 09:13:02,885 [20] INFO  Umbraco.Core.PluginManager - [Thread 25] Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 16 (took 304ms)
